AUD,GBP
2016-07-01-23-58,0.56488761
2016-07-02-23-58,0.56488761
2016-07-03-23-58,0.56178673
2016-07-04-23-58,0.56659
2016-07-05-23-58,0.57415662
2016-07-06-23-58,0.5817957
2016-07-07-23-58,0.580215
2016-07-08-23-58,0.58455613
2016-07-09-23-58,0.58455613
2016-07-10-23-58,0.58391766
2016-07-11-23-58,0.58023416
2016-07-12-23-58,0.57275393
2016-07-13-23-58,0.57891011
2016-07-14-23-58,0.570125
2016-07-15-23-58,0.57397352
2016-07-16-23-58,0.57397352
2016-07-17-23-58,0.57363095
2016-07-18-23-58,0.5708643
2016-07-19-23-58,0.57276925
2016-07-20-23-58,0.56353211
2016-07-21-23-58,0.56715286
2016-07-22-23-58,0.56933699
2016-07-23-23-58,0.56933699
2016-07-24-23-58,0.56939038
2016-07-25-23-58,0.57034342
2016-07-26-23-58,0.57139327
2016-07-27-23-58,0.56831008
2016-07-28-23-58,0.57065085
2016-07-29-23-58,0.57451159
2016-07-30-23-58,0.57451159
2016-07-31-23-58,0.574035
2016-08-01-23-58,0.57087328
2016-08-02-23-58,0.56961632
2016-08-03-23-58,0.56946687
2016-08-04-23-58,0.5819
2016-08-05-23-58,0.58286927
2016-08-06-23-58,0.58286927
2016-08-07-23-58,0.582135
2016-08-08-23-58,0.58782
2016-08-09-23-58,0.588975
2016-08-10-23-58,0.59235681
2016-08-11-23-58,0.593795
2016-08-12-23-58,0.59212767
2016-08-13-23-58,0.59212767
2016-08-14-23-58,0.59301867
2016-08-15-23-58,0.59603294
2016-08-16-23-58,0.59063873
2016-08-17-23-58,0.5873644
2016-08-18-23-58,0.58336627
2016-08-19-23-58,0.58314668
2016-08-20-23-58,0.58314668
2016-08-21-23-58,0.58244394
2016-08-22-23-58,0.58102919
2016-08-23-23-58,0.576835
2016-08-24-23-58,0.57488386
2016-08-25-23-58,0.57783
2016-08-26-23-58,0.57583773
2016-08-27-23-58,0.57583773
2016-08-28-23-58,0.57447434
2016-08-29-23-58,0.57811929
2016-08-30-23-58,0.57457796
2016-08-31-23-58,0.57249186
2016-09-01-23-58,0.5688642
2016-09-02-23-58,0.569574
2016-09-03-23-58,0.569574
2016-09-04-23-58,0.56901513
2016-09-05-23-58,0.57028349
2016-09-06-23-58,0.5728
2016-09-07-23-58,0.57485513
2016-09-08-23-58,0.57493914
2016-09-09-23-58,0.56829618
2016-09-10-23-58,0.56829618
2016-09-11-23-58,0.56826
2016-09-12-23-58,0.56725154
2016-09-13-23-58,0.56600428
2016-09-14-23-58,0.5641
2016-09-15-23-58,0.5670434
2016-09-16-23-58,0.57641935
2016-09-17-23-58,0.57641935
2016-09-18-23-58,0.576345
2016-09-19-23-58,0.57786
2016-09-20-23-58,0.58184
2016-09-21-23-58,0.58576
2016-09-22-23-58,0.58464
2016-09-23-23-58,0.58803666
2016-09-24-23-58,0.58803666
2016-09-25-23-58,0.58674579
2016-09-26-23-58,0.58849749
2016-09-27-23-58,0.58954599
2016-09-28-23-58,0.59000654
2016-09-29-23-58,0.58836916
2016-09-30-23-58,0.59012994
2016-10-01-23-58,0.59012994
2016-10-02-23-58,0.59121
2016-10-03-23-58,0.59765879
2016-10-04-23-58,0.59791815
2016-10-05-23-58,0.597665
2016-10-06-23-58,0.611285
